epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.198,3.00078,4.55894,2.14525,0.00058,0.01299,0.0008,0.00029,2.56044,4.56224,2.08872,4.002e-05,4.002e-05,4.002e-05
2,344.369,2.39157,4.37229,1.76885,0.00836,0.22646,0.05786,0.01458,2.06246,4.41695,1.72963,8.49931e-05,8.49931e-05,8.49931e-05
3,480.281,1.83679,4.01442,1.4797,0.01287,0.37419,0.15608,0.05817,1.64166,4.156,1.33799,0.000128117,0.000128117,0.000128117
4,555.076,1.77763,3.75171,1.4008,0.01485,0.43263,0.16932,0.05647,1.61483,4.02402,1.26826,0.000169393,0.000169393,0.000169393
5,629.495,1.66688,3.28343,1.31713,0.92964,0.07155,0.20987,0.08802,1.5031,3.83659,1.26925,0.000208819,0.000208819,0.000208819
6,704.802,1.64845,2.85832,1.28768,0.97939,0.16173,0.29983,0.13812,1.48048,3.62741,1.25225,0.000246396,0.000246396,0.000246396
7,793.516,1.60882,2.48341,1.25177,0.98462,0.14883,0.4163,0.21634,1.44604,3.49673,1.23582,0.000282125,0.000282125,0.000282125
8,883.025,1.54538,1.98173,1.21256,0.9961,0.18417,0.53674,0.30818,1.39924,3.2374,1.20163,0.000316005,0.000316005,0.000316005
9,972.058,1.46857,1.66434,1.20095,0.90264,0.29338,0.74049,0.42581,1.45315,2.72634,1.2216,0.000348035,0.000348035,0.000348035
10,1061.05,1.49439,1.47107,1.18468,0.89673,0.41456,0.79527,0.48871,1.3529,2.31701,1.21815,0.000378217,0.000378217,0.000378217
11,1148.87,1.49517,1.38846,1.17851,0.82709,0.5637,0.80345,0.47544,1.42233,2.11651,1.24407,0.00040655,0.00040655,0.00040655
12,1232.08,1.46532,1.3193,1.16894,0.94934,0.60303,0.88898,0.50421,1.4603,1.94967,1.21324,0.000433034,0.000433034,0.000433034
13,1315.37,1.45196,1.24741,1.16928,0.9085,0.70396,0.90451,0.5351,1.38128,1.76507,1.18452,0.000457669,0.000457669,0.000457669
14,1396.75,1.37049,1.18547,1.14749,0.84801,0.81714,0.92193,0.56755,1.31955,1.44506,1.14976,0.000480455,0.000480455,0.000480455
15,1477.23,1.31696,1.14563,1.12412,0.85697,0.82785,0.93546,0.5567,1.35132,1.41727,1.1545,0.000482108,0.000482108,0.000482108
16,1557.91,1.32123,1.08544,1.11791,0.90388,0.89416,0.93747,0.58373,1.27243,1.31949,1.14126,0.000468901,0.000468901,0.000468901
17,1639.22,1.30513,1.07171,1.0992,0.91559,0.9168,0.94187,0.58905,1.26081,1.22272,1.12788,0.000455694,0.000455694,0.000455694
18,1720.89,1.30836,1.07011,1.10333,0.90629,0.92757,0.95165,0.59109,1.25255,1.13529,1.10782,0.000442488,0.000442488,0.000442488
19,1809.96,1.2846,1.01095,1.07717,0.90799,0.92685,0.95225,0.58014,1.30915,1.07272,1.11821,0.000429281,0.000429281,0.000429281
20,1891.81,1.28416,1.00614,1.09066,0.93753,0.9268,0.95509,0.59469,1.25236,1.02199,1.09775,0.000416075,0.000416075,0.000416075
21,1974.04,1.27599,0.98593,1.10267,0.93815,0.91362,0.95456,0.5941,1.26115,1.05082,1.09462,0.000402868,0.000402868,0.000402868
22,2059.21,1.25508,0.95055,1.07249,0.90521,0.92208,0.95675,0.60363,1.2063,1.03645,1.08076,0.000389661,0.000389661,0.000389661
23,2142.17,1.28953,0.99402,1.13329,0.93109,0.94211,0.96876,0.61067,1.20177,0.98248,1.07828,0.000376455,0.000376455,0.000376455
24,2235.45,1.21445,0.9316,1.08919,0.95058,0.93254,0.97135,0.61519,1.22979,0.957,1.07966,0.000363248,0.000363248,0.000363248
25,2376.44,1.24415,0.91696,1.0646,0.94421,0.92843,0.97001,0.62577,1.17588,0.93125,1.07049,0.000350042,0.000350042,0.000350042
26,2515.93,1.20557,0.90403,1.06344,0.92502,0.93058,0.96298,0.62912,1.14513,0.8765,1.0691,0.000336835,0.000336835,0.000336835
27,2623.3,1.20548,0.91067,1.07481,0.93794,0.93861,0.97132,0.64403,1.11568,0.83655,1.06093,0.000323628,0.000323628,0.000323628
28,2751.29,1.21275,0.88109,1.06649,0.93915,0.95617,0.97535,0.63733,1.15127,0.83577,1.05462,0.000310422,0.000310422,0.000310422
29,2863.08,1.18201,0.86654,1.06259,0.9437,0.95474,0.97475,0.63988,1.13824,0.82238,1.04485,0.000297215,0.000297215,0.000297215
30,2943.87,1.1832,0.86902,1.05056,0.95161,0.95698,0.97727,0.65015,1.0944,0.80964,1.04027,0.000284009,0.000284009,0.000284009
31,3038.07,1.17136,0.86602,1.0414,0.95831,0.9704,0.98081,0.64651,1.10354,0.80862,1.04869,0.000270802,0.000270802,0.000270802
32,3119.26,1.14777,0.83146,1.03791,0.95487,0.96933,0.98135,0.65837,1.06847,0.76485,1.0356,0.000257595,0.000257595,0.000257595
33,3199.44,1.12919,0.83063,1.04294,0.94636,0.96947,0.98253,0.66394,1.0636,0.75805,1.0324,0.000244389,0.000244389,0.000244389
34,3279.82,1.1408,0.83786,1.04118,0.94461,0.97258,0.9836,0.65858,1.08276,0.75959,1.03293,0.000231182,0.000231182,0.000231182
35,3363.75,1.14918,0.832,1.06186,0.94164,0.9697,0.98444,0.66359,1.05977,0.75333,1.02926,0.000217976,0.000217976,0.000217976
36,3442.84,1.13872,0.82305,1.0425,0.95465,0.97565,0.98606,0.66623,1.05765,0.75004,1.02847,0.000204769,0.000204769,0.000204769
37,3522.26,1.12876,0.81723,1.04226,0.96191,0.98123,0.98749,0.67197,1.04374,0.7429,1.02374,0.000191562,0.000191562,0.000191562
38,3603.86,1.11781,0.81742,1.03981,0.9684,0.97645,0.98812,0.67324,1.04752,0.72766,1.01731,0.000178356,0.000178356,0.000178356
39,3685.17,1.12851,0.81218,1.03911,0.96761,0.97403,0.98877,0.67215,1.05043,0.73087,1.01859,0.000165149,0.000165149,0.000165149
40,3766.13,1.09614,0.7944,1.02648,0.95506,0.97028,0.98654,0.67897,1.03213,0.72399,1.01253,0.000151943,0.000151943,0.000151943
41,3844.32,1.1458,1.05818,1.08253,0.94684,0.97018,0.98654,0.6799,1.0353,0.72932,1.01085,0.000138736,0.000138736,0.000138736
42,3922.04,1.12604,0.936,1.07734,0.94981,0.96591,0.98441,0.671,1.05433,0.78646,1.00739,0.000125529,0.000125529,0.000125529
43,3999.67,1.11935,0.92914,1.05543,0.95656,0.97078,0.98536,0.66717,1.06653,0.80083,1.00957,0.000112323,0.000112323,0.000112323
44,4103.75,1.10246,0.89302,1.05917,0.9545,0.97942,0.98649,0.67038,1.05293,0.75534,1.01079,9.91162e-05,9.91162e-05,9.91162e-05
45,4204.45,1.11616,0.8695,1.06419,0.96606,0.97296,0.98586,0.67237,1.04736,0.73579,1.01171,8.59096e-05,8.59096e-05,8.59096e-05
46,4301.88,1.07276,0.82388,1.04554,0.96555,0.97623,0.98698,0.67761,1.03268,0.71585,1.01009,7.2703e-05,7.2703e-05,7.2703e-05
47,4399.94,1.07821,0.82747,1.06007,0.9657,0.97732,0.98717,0.67979,1.02694,0.71047,1.00872,5.94964e-05,5.94964e-05,5.94964e-05
48,4512.27,1.08492,0.82304,1.04337,0.96957,0.97584,0.98875,0.68115,1.02257,0.71558,1.0097,4.62898e-05,4.62898e-05,4.62898e-05
49,4620.49,1.06354,0.79874,1.03566,0.96293,0.974,0.98777,0.68284,1.02113,0.71849,1.01012,3.30832e-05,3.30832e-05,3.30832e-05
50,4721.74,1.06789,0.80197,1.04519,0.96102,0.97524,0.9879,0.68232,1.02218,0.72194,1.01146,1.98766e-05,1.98766e-05,1.98766e-05
